# PetList/Heartmate

#author("2017-04-07T17:39:59+00:00","","")
#include(Pet/PetMenu,notitle)
*ペット一覧表 （ハートメイト） [#h19b7b98]
#contents

&color(#0000ff){仕様変更があったため、育てた時期によっては1～2の差が出ることがあるので参考として下さい。&br;上限に達したかは転生の際のパラメーター上昇で判断するといいでしょう。};
パラメーターは、レイアウトの関係で英語表記としています。
パラメーターの表示順序はゲーム内の説明と同じです。
初期パラメーターのうち、&color(#a0a0a0){''灰色で表示''};されたものはかつて隠しステータスであり、数値が確定出来ませんでした。確定したもののみ黒で表示に戻してください。

**ハートメイト [#Haertmate]
-2011年の通年イベントキャラクター
-フシギなタマゴの力でココロが具現化したペット

***エミルの狩人ハート [#EmilHeart]
|CENTER:128|CENTER:100|CENTER:100|CENTER:60|CENTER:370|c
|~画像|~固有命令スキル&br;習得可能職業|~初期&br;パラメーター|~成長(転生前)((黒は限界値が確定していると思われるパラメーター、灰色はまだ限界値が確定していないと思われるパラメーターです。))|~説明と入手法|h
|CENTER:128|CENTER:100|RIGHT:100|RIGHT:60|LEFT:370|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/HeartmateSyugoma/EmilHeartKari.jpg,nolink,128x128);|なし|HP:300&br;ATK:42&br;M.ATK:44&br;DEF:33&br;M.DEF:30&br;S.HIT:20&br;L.HIT:34&br;M.HIT:35&br;S.AVOID:10&br;L.AVOID:20&br;M.RST:21&br;CRITICAL:15&br;&br;&color(#a0a0a0){A.SPD:-};&br;&color(#a0a0a1){C.SPD:-};&br;&color(#a0a0a2){C.AVOID:-};&br;&color(#a0a0a3){RCV:120};&br;&color(#a0a0a4){M.RCV:-};&br;&color(#a0a0a5){S.RCV:-};|&color(#000009){+1000};&br;&color(#000009){+155};&br;&color(#000009){+129};&br;&color(#000009){+111};&br;&color(#000009){+54};&br;&color(#000009){+48};&br;&color(#000009){+129};&br;&color(#000009){+39};&br;&color(#000009){+45};&br;&color(#000009){+84};&br;&color(#000009){+28};&br;&color(#000009){+63};&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a1){+0};&br;&color(#a0a0a2){+0};&br;&color(#000009){+120};&br;&color(#a0a0a4){+0};&br;&color(#a0a0a5){+0};|【説明】&br;ハートメイトの一種&br;エミルの心の力が具現化したもの&br;[[台詞>PetSpeech/EmilHeart]]&br;&br;【ユニオン時】&br;系統：ハートメイト系　攻撃タイプ：？？&br;MP????&br;SP????&br;DEF(%)????&br;MDEF(%)????&br;&br;【使用スキル】&br;エリアヒール&br;デュアルアロー&br;パラージアロー&br;チャージショット&br;アヴォイドバースト&br;&br;【入手法】&br;ECOくじ 「雪国アニマルズ」|

***ルルイエのあまえんぼハート [#RlyehHeart]
|CENTER:128|CENTER:100|RIGHT:100|RIGHT:60|LEFT:370|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/HeartmateSyugoma/RuruieHeartAmaenbo.jpg,nolink,128x224);|なし|HP:300&br;ATK:42&br;M.ATK:44&br;DEF:33&br;M.DEF:30&br;S.HIT:32&br;L.HIT:20&br;M.HIT:35&br;S.AVOID:20&br;L.AVOID:10&br;M.RST:21&br;CRITICAL:15&br;&br;&color(#a0a0a0){A.SPD:-};&br;&color(#a0a0a1){C.SPD:-};&br;&color(#a0a0a2){C.AVOID:-};&br;&color(#a0a0a3){RCV:120};&br;&color(#a0a0a4){M.RCV:-};&br;&color(#a0a0a5){S.RCV:-};|&color(#000009){+1000};&br;&color(#000009){+155};&br;&color(#000009){+129};&br;&color(#000009){+111};&br;&color(#000009){+120};&br;&color(#000009){+129};&br;&color(#000009){+48};&br;&color(#000009){+250};&br;&color(#000009){+45};&br;&color(#000009){+45};&br;&color(#000009){+60};&br;&color(#000009){+63};&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a1){+0};&br;&color(#a0a0a2){+0};&br;&color(#000009){+120};&br;&color(#a0a0a4){+0};&br;&color(#a0a0a5){+0};|【説明】&br;ハートメイトの一種&br;ルルイエの心の力が具現化したもの&br;[[台詞>PetSpeech/RlyehHeart]]&br;&br;【ユニオン時】&br;系統：ハートメイト系　攻撃タイプ：？？&br;MP????&br;SP????&br;DEF(%)????&br;MDEF(%)????&br;&br;【使用スキル】&br;エリアヒール&br;ラウズボディ&br;アイスアロー&br;リヴァイブ&br;&br;&br;【入手法】&br;ECOくじ 「スウィート・ロリポップ」|

***マーシャのくのいちハート [#MarciaHeart]
|CENTER:128|CENTER:100|RIGHT:100|RIGHT:60|LEFT:370|c
